nodejs 8.8.1-1
notepadqq-git 1.0.1.r75.g1f79984-1
noto-fonts 20171025-1
npm 5.5.1-1
npth 1.5-1
nspr 4.17-1
nss 3.33-2
ntp 4.2.8.p10-2
numlockx 1.2-3
nvidia 387.22-5
nvidia-settings 387.22-1
nvidia-utils 387.22-1
ocl-icd 2.2.11-1
openal 1.18.2-1
opencl-nvidia 387.22-1
openconnect 1:7.08-1
opencore-amr 0.1.5-1
openexr 2.2.0-3
openjpeg 1.5.2-1
openjpeg2 2.3.0-1
openresolv 3.9.0-1
openssh 7.6p1-1
openssl 1.1.0.g-1
openssl-1.0 1.0.2.l-1
opus 1.2.1-1
orage 4.12.1-3
orc 0.4.27-1
orca 3.26.0-1
ortp 1.0.2-1
os-prober 1.76-1
osinfo-db 20170423-1
ostree 2017.13-1
p11-kit 0.23.9-1
pa-applet-git 17.33b413b-1
pacaur 4.7.10-1
package-query 1.9-2
pacman 5.0.2-2
pacman-mirrorlist 20171027-1
pam 1.3.0-1
pambase 20171006-1
pango 1.40.13-2
pangomm 2.40.1-2
parted 3.2-6
pasystray-git 0.6.0.r23.ga967ba7-1
patch 2.7.5-1
pavucontrol 3.0-4
pavumeter 0.9.3-7
pciutils 3.5.5-1
pcmciautils 018-7
pcre 8.41-1
pcre2 10.30-1
pcsclite 1.8.22-1
perl 5.26.1-1
perl-error 0.17025-2
